Step,Value
0,2.7182817459106445
100,2.6777827739715576
200,2.637908697128296
300,2.5986220836639404
400,2.559941530227661
500,2.5218560695648193
600,2.4843099117279053
700,2.4473202228546143
800,2.4108641147613525
900,2.3749916553497314
1000,2.339660406112671
1100,2.304860830307007
1200,2.270589590072632
1300,2.236849069595337
1400,2.2035977840423584
1500,2.1708791255950928
1600,2.138651132583618
1700,2.1069133281707764
1800,2.0756609439849854
1900,2.0448813438415527
2000,2.014604091644287
2100,1.9847798347473145
2200,1.9554499387741089
2300,1.9265624284744263
2400,1.8981441259384155
2500,1.8701401948928833
2600,1.842525601387024
2700,1.8154304027557373
2800,1.7888076305389404
2900,1.762619972229004
3000,1.7367855310440063
3100,1.711414098739624
3200,1.6864333152770996
3300,1.661947250366211
3400,1.6378364562988281
3500,1.6140464544296265
3600,1.5907315015792847
3700,1.5678136348724365
3800,1.545289158821106
3900,1.5231233835220337
4000,1.5013453960418701
4100,1.4799898862838745
4200,1.4589561223983765
4300,1.4383552074432373
4400,1.4180169105529785
4500,1.398124098777771
4600,1.3786094188690186
4700,1.3594540357589722
4800,1.3405795097351074
4900,1.322129487991333
5000,1.3039647340774536
5100,1.286122441291809
5200,1.2686065435409546
5300,1.251380205154419
5400,1.2344892024993896
5500,1.2178550958633423
5600,1.201471209526062
5700,1.1854993104934692
5800,1.1697523593902588
5900,1.1542832851409912
6000,1.1391035318374634
6100,1.1241167783737183
6200,1.1094268560409546
6300,1.0950120687484741
6400,1.080717921257019
6500,1.0667071342468262
6600,1.052933931350708
6700,1.0393656492233276
6800,1.0259517431259155
6900,1.0128103494644165
7000,0.9998910427093506
7100,0.9870480895042419
7200,0.9743427038192749
7300,0.9618136286735535
7400,0.9494662880897522
7500,0.9373172521591187
7600,0.9253313541412354
7700,0.9133734703063965
7800,0.9016327857971191
7900,0.8900596499443054
8000,0.8785625696182251
8100,0.867366373538971
8200,0.8562300801277161
8300,0.845274806022644
8400,0.8344331979751587
8500,0.8236904144287109
8600,0.8131100535392761
8700,0.8026115894317627
8800,0.7923380136489868
8900,0.7821359038352966
9000,0.7721090316772461
9100,0.7623064517974854
9200,0.7524599432945251
9300,0.7429434061050415
9400,0.7334386706352234
9500,0.7239965796470642
9600,0.7146856784820557
9700,0.7054299712181091
9800,0.6963419318199158
9900,0.6874573826789856
10000,0.678591251373291
10100,0.6698380708694458
10200,0.6612722873687744
10300,0.6528159379959106
10400,0.6443911790847778
10500,0.6361650228500366
10600,0.6280330419540405
10700,0.6200264692306519
10800,0.612033486366272
10900,0.6041721701622009
11000,0.5964444279670715
11100,0.5888654589653015
11200,0.5813077688217163
11300,0.5738703012466431
11400,0.5664476752281189
11500,0.5590364336967468
11600,0.5517892837524414
11700,0.5446658134460449
11800,0.5378120541572571
11900,0.5309863090515137
