Step,Value
0,0.02524913102388382
100,-2.5626742839813232
200,-2.7338924407958984
300,-4.214905738830566
400,-4.194287300109863
500,-4.422401428222656
600,-5.36911153793335
700,-5.341840744018555
800,-6.371148586273193
900,-7.360109329223633
1000,-7.938396453857422
1100,-7.843159198760986
1200,-10.140239715576172
1300,-9.34101676940918
1400,-11.407135009765625
1500,-11.94863224029541
1600,-10.205243110656738
1700,-12.881172180175781
1800,-15.291383743286133
1900,-15.677021026611328
2000,-15.735414505004883
2100,-15.872247695922852
2200,-16.815216064453125
2300,-18.703737258911133
2400,-18.96276092529297
2500,-20.56161880493164
2600,-21.12525749206543
2700,-21.281551361083984
2800,-24.267162322998047
2900,-25.214487075805664
3000,-26.30232810974121
3100,-26.586139678955078
3200,-28.899656295776367
3300,-29.648237228393555
3400,-29.658573150634766
3500,-29.40743064880371
3600,-30.922252655029297
3700,-30.688617706298828
3800,-31.520320892333984
3900,-34.359886169433594
4000,-35.22715759277344
4100,-36.3194580078125
4200,-35.33648681640625
4300,-37.287193298339844
4400,-34.93966293334961
4500,-39.040401458740234
4600,-37.817710876464844
4700,-40.59247970581055
4800,-39.030582427978516
4900,-41.69959259033203
5000,-42.55848693847656
5100,-43.07622528076172
5200,-42.881710052490234
5300,-41.73954391479492
5400,-42.409515380859375
5500,-44.66182327270508
5600,-39.67987823486328
5700,-45.941749572753906
5800,-44.40950393676758
5900,-46.03193283081055
6000,-46.219322204589844
6100,-50.72890853881836
6200,-45.03842544555664
6300,-48.814002990722656
6400,-46.39507293701172
6500,-46.53306579589844
6600,-47.1124153137207
6700,-44.31919860839844
6800,-46.258399963378906
6900,-48.443153381347656
7000,-48.20825958251953
7100,-40.875404357910156
7200,-47.02740478515625
7300,-42.413841247558594
7400,-44.926761627197266
7500,-49.06607437133789
7600,-44.82483673095703
7700,-44.16212463378906
7800,-48.22598648071289
7900,-46.96260452270508
8000,-45.30116271972656
8100,-44.91474151611328
8200,-44.48573684692383
8300,-49.513916015625
8400,-43.70368576049805
8500,-38.73163604736328
8600,-49.78041076660156
8700,-42.116153717041016
8800,-37.006202697753906
8900,-39.928558349609375
9000,-42.413726806640625
9100,-40.83649444580078
9200,-44.281455993652344
9300,-43.70797348022461
9400,-40.742366790771484
9500,-38.50598907470703
9600,-38.582763671875
9700,-44.92303466796875
9800,-45.62945556640625
9900,-36.522605895996094
10000,-39.526519775390625
10100,-36.17274475097656
10200,-41.18119812011719
10300,-39.49668502807617
10400,-40.363739013671875
10500,-33.7257080078125
10600,-31.563276290893555
10700,-35.76584243774414
10800,-38.77452087402344
10900,-35.214569091796875
11000,-38.37793731689453
11100,-30.49903678894043
11200,-35.73858642578125
11300,-35.862457275390625
11400,-29.27668571472168
11500,-30.257062911987305
11600,-36.044578552246094
11700,-40.42293930053711
11800,-39.331485748291016
11900,-30.074615478515625
