Step,Value
0,-1278.7425537109375
100,-1297.836181640625
200,-1284.60107421875
300,-1168.769287109375
400,-1162.0489501953125
500,-1525.220458984375
600,-1329.0792236328125
700,-1320.88134765625
800,-1379.3681640625
900,-1284.5518798828125
1000,-1345.5762939453125
1100,-1507.931884765625
1200,-1304.660888671875
1300,-1573.51953125
1400,-1467.4478759765625
1500,-1203.757080078125
1600,-1368.2852783203125
1700,-1410.6461181640625
1800,-1458.02685546875
1900,-1372.3353271484375
2000,-1532.1534423828125
2100,-1497.9569091796875
2200,-1367.417724609375
2300,-1338.473876953125
2400,-1511.06640625
2500,-1400.18115234375
2600,-1553.5478515625
2700,-1255.9337158203125
2800,-1329.89453125
2900,-1330.92138671875
3000,-1283.53369140625
3100,-1261.54931640625
3200,-1281.7314453125
3300,-1179.1708984375
3400,-1191.6466064453125
3500,-1153.930908203125
3600,-1173.2249755859375
3700,-1061.9000244140625
3800,-1187.0982666015625
3900,-1070.001220703125
4000,-991.1524047851562
4100,-986.193359375
4200,-1089.9283447265625
4300,-1067.784912109375
4400,-966.9862060546875
4500,-930.8628540039062
4600,-925.2852783203125
4700,-908.9566040039062
4800,-814.1527709960938
4900,-905.3350219726562
5000,-862.5491943359375
5100,-697.8790283203125
5200,-759.6103515625
5300,-608.9609985351562
5400,-473.1401672363281
5500,-544.8220825195312
5600,-564.902099609375
5700,-586.958740234375
5800,-226.21527099609375
5900,-334.3594970703125
6000,-281.04962158203125
6100,-279.45782470703125
6200,-149.80101013183594
6300,-176.64048767089844
6400,-236.8037872314453
6500,-303.13690185546875
6600,-200.21168518066406
6700,-173.17031860351562
6800,-270.5563659667969
6900,-144.7560272216797
7000,-147.01890563964844
7100,-178.27391052246094
7200,-172.5111846923828
7300,-294.2667541503906
7400,-275.721435546875
7500,-263.40130615234375
7600,-224.04843139648438
7700,-122.53839111328125
7800,-169.25926208496094
7900,-246.6057891845703
8000,-196.72882080078125
8100,-190.7197723388672
8200,-143.8228759765625
8300,-99.75672912597656
8400,-193.26016235351562
8500,-123.46929168701172
8600,-156.70608520507812
8700,-122.5302963256836
8800,-148.43475341796875
8900,-212.0390625
9000,-193.07684326171875
9100,-148.75946044921875
9200,-228.94757080078125
9300,-121.54582214355469
9400,-173.61624145507812
9500,-145.20579528808594
9600,-197.79156494140625
9700,-217.34605407714844
9800,-74.1396713256836
9900,-164.13174438476562
10000,-258.7113952636719
10100,-147.46240234375
10200,-145.82333374023438
10300,-187.11692810058594
10400,-147.79420471191406
10500,-165.10394287109375
10600,-208.22610473632812
10700,-192.38455200195312
10800,-121.13262176513672
10900,-49.41538619995117
11000,-94.23929595947266
11100,-125.15167236328125
11200,-154.03280639648438
11300,-146.273193359375
11400,-117.21841430664062
11500,-194.09719848632812
11600,-97.70841217041016
11700,-167.6923828125
11800,-119.5391616821289
11900,-170.17471313476562
