Step,Value
0,-1278.7425537109375
3,-1297.836181640625
5,-1284.60107421875
8,-1168.769287109375
11,-1162.0489501953125
13,-1525.220458984375
16,-1329.0792236328125
18,-1320.88134765625
21,-1379.3681640625
23,-1284.5518798828125
26,-1345.5762939453125
29,-1507.931884765625
31,-1304.660888671875
34,-1573.51953125
37,-1467.4478759765625
39,-1203.757080078125
42,-1368.2852783203125
45,-1410.6461181640625
49,-1458.02685546875
51,-1372.3353271484375
54,-1532.1534423828125
57,-1497.9569091796875
59,-1367.417724609375
62,-1338.473876953125
64,-1511.06640625
67,-1400.18115234375
70,-1553.5478515625
72,-1255.9337158203125
75,-1329.89453125
77,-1330.92138671875
80,-1283.53369140625
83,-1261.54931640625
85,-1281.7314453125
88,-1179.1708984375
90,-1191.6466064453125
93,-1153.930908203125
95,-1173.2249755859375
97,-1061.9000244140625
100,-1187.0982666015625
102,-1070.001220703125
105,-991.1524047851562
107,-986.193359375
110,-1089.9283447265625
112,-1067.784912109375
115,-966.9862060546875
117,-930.8628540039062
120,-925.2852783203125
122,-908.9566040039062
125,-814.1527709960938
127,-905.3350219726562
130,-862.5491943359375
132,-697.8790283203125
135,-759.6103515625
137,-608.9609985351562
140,-473.1401672363281
142,-544.8220825195312
145,-564.902099609375
147,-586.958740234375
150,-226.21527099609375
152,-334.3594970703125
154,-281.04962158203125
157,-279.45782470703125
160,-149.80101013183594
163,-176.64048767089844
166,-236.8037872314453
169,-303.13690185546875
172,-200.21168518066406
174,-173.17031860351562
177,-270.5563659667969
180,-144.7560272216797
182,-147.01890563964844
185,-178.27391052246094
187,-172.5111846923828
190,-294.2667541503906
193,-275.721435546875
195,-263.40130615234375
198,-224.04843139648438
201,-122.53839111328125
203,-169.25926208496094
206,-246.6057891845703
209,-196.72882080078125
211,-190.7197723388672
214,-143.8228759765625
217,-99.75672912597656
219,-193.26016235351562
222,-123.46929168701172
224,-156.70608520507812
227,-122.5302963256836
231,-148.43475341796875
233,-212.0390625
236,-193.07684326171875
239,-148.75946044921875
242,-228.94757080078125
245,-121.54582214355469
248,-173.61624145507812
250,-145.20579528808594
253,-197.79156494140625
255,-217.34605407714844
258,-74.1396713256836
261,-164.13174438476562
263,-258.7113952636719
266,-147.46240234375
268,-145.82333374023438
271,-187.11692810058594
273,-147.79420471191406
276,-165.10394287109375
278,-208.22610473632812
281,-192.38455200195312
284,-121.13262176513672
286,-49.41538619995117
289,-94.23929595947266
291,-125.15167236328125
294,-154.03280639648438
296,-146.273193359375
299,-117.21841430664062
301,-194.09719848632812
305,-97.70841217041016
307,-167.6923828125
310,-119.5391616821289
312,-170.17471313476562
