Step,Value
10020,-1278.7425537109375
12020,-1297.836181640625
14020,-1284.60107421875
16020,-1168.769287109375
18020,-1162.0489501953125
20020,-1525.220458984375
22020,-1329.0792236328125
24020,-1320.88134765625
26020,-1379.3681640625
28020,-1284.5518798828125
30020,-1345.5762939453125
32020,-1507.931884765625
34020,-1304.660888671875
36020,-1573.51953125
38020,-1467.4478759765625
40020,-1203.757080078125
42020,-1368.2852783203125
44020,-1410.6461181640625
46020,-1458.02685546875
48020,-1372.3353271484375
50020,-1532.1534423828125
52020,-1497.9569091796875
54020,-1367.417724609375
56020,-1338.473876953125
58020,-1511.06640625
60020,-1400.18115234375
62020,-1553.5478515625
64020,-1255.9337158203125
66020,-1329.89453125
68020,-1330.92138671875
70020,-1283.53369140625
72020,-1261.54931640625
74020,-1281.7314453125
76020,-1179.1708984375
78020,-1191.6466064453125
80020,-1153.930908203125
82020,-1173.2249755859375
84020,-1061.9000244140625
86020,-1187.0982666015625
88020,-1070.001220703125
90020,-991.1524047851562
92020,-986.193359375
94020,-1089.9283447265625
96020,-1067.784912109375
98020,-966.9862060546875
100020,-930.8628540039062
102020,-925.2852783203125
104020,-908.9566040039062
106020,-814.1527709960938
108020,-905.3350219726562
110020,-862.5491943359375
112020,-697.8790283203125
114020,-759.6103515625
116020,-608.9609985351562
118020,-473.1401672363281
120020,-544.8220825195312
122020,-564.902099609375
124020,-586.958740234375
126020,-226.21527099609375
128020,-334.3594970703125
130020,-281.04962158203125
132020,-279.45782470703125
134020,-149.80101013183594
136020,-176.64048767089844
138020,-236.8037872314453
140020,-303.13690185546875
142020,-200.21168518066406
144020,-173.17031860351562
146020,-270.5563659667969
148020,-144.7560272216797
150020,-147.01890563964844
152020,-178.27391052246094
154020,-172.5111846923828
156020,-294.2667541503906
158020,-275.721435546875
160020,-263.40130615234375
162020,-224.04843139648438
164020,-122.53839111328125
166020,-169.25926208496094
168020,-246.6057891845703
170020,-196.72882080078125
172020,-190.7197723388672
174020,-143.8228759765625
176020,-99.75672912597656
178020,-193.26016235351562
180020,-123.46929168701172
182020,-156.70608520507812
184020,-122.5302963256836
186020,-148.43475341796875
188020,-212.0390625
190020,-193.07684326171875
192020,-148.75946044921875
194020,-228.94757080078125
196020,-121.54582214355469
198020,-173.61624145507812
200020,-145.20579528808594
202020,-197.79156494140625
204020,-217.34605407714844
206020,-74.1396713256836
208020,-164.13174438476562
210020,-258.7113952636719
212020,-147.46240234375
214020,-145.82333374023438
216020,-187.11692810058594
218020,-147.79420471191406
220020,-165.10394287109375
222020,-208.22610473632812
224020,-192.38455200195312
226020,-121.13262176513672
228020,-49.41538619995117
230020,-94.23929595947266
232020,-125.15167236328125
234020,-154.03280639648438
236020,-146.273193359375
238020,-117.21841430664062
240020,-194.09719848632812
242020,-97.70841217041016
244020,-167.6923828125
246020,-119.5391616821289
248020,-170.17471313476562
