Step,Value
0,-1278.7425537109375
25600,-1297.836181640625
51200,-1284.60107421875
76800,-1168.769287109375
102400,-1162.0489501953125
128000,-1525.220458984375
153600,-1329.0792236328125
179200,-1320.88134765625
204800,-1379.3681640625
230400,-1284.5518798828125
256000,-1345.5762939453125
281600,-1507.931884765625
307200,-1304.660888671875
332800,-1573.51953125
358400,-1467.4478759765625
384000,-1203.757080078125
409600,-1368.2852783203125
435200,-1410.6461181640625
460800,-1458.02685546875
486400,-1372.3353271484375
512000,-1532.1534423828125
537600,-1497.9569091796875
563200,-1367.417724609375
588800,-1338.473876953125
614400,-1511.06640625
640000,-1400.18115234375
665600,-1553.5478515625
691200,-1255.9337158203125
716800,-1329.89453125
742400,-1330.92138671875
768000,-1283.53369140625
793600,-1261.54931640625
819200,-1281.7314453125
844800,-1179.1708984375
870400,-1191.6466064453125
896000,-1153.930908203125
921600,-1173.2249755859375
947200,-1061.9000244140625
972800,-1187.0982666015625
998400,-1070.001220703125
1024000,-991.1524047851562
1049600,-986.193359375
1075200,-1089.9283447265625
1100800,-1067.784912109375
1126400,-966.9862060546875
1152000,-930.8628540039062
1177600,-925.2852783203125
1203200,-908.9566040039062
1228800,-814.1527709960938
1254400,-905.3350219726562
1280000,-862.5491943359375
1305600,-697.8790283203125
1331200,-759.6103515625
1356800,-608.9609985351562
1382400,-473.1401672363281
1408000,-544.8220825195312
1433600,-564.902099609375
1459200,-586.958740234375
1484800,-226.21527099609375
1510400,-334.3594970703125
1536000,-281.04962158203125
1561600,-279.45782470703125
1587200,-149.80101013183594
1612800,-176.64048767089844
1638400,-236.8037872314453
1664000,-303.13690185546875
1689600,-200.21168518066406
1715200,-173.17031860351562
1740800,-270.5563659667969
1766400,-144.7560272216797
1792000,-147.01890563964844
1817600,-178.27391052246094
1843200,-172.5111846923828
1868800,-294.2667541503906
1894400,-275.721435546875
1920000,-263.40130615234375
1945600,-224.04843139648438
1971200,-122.53839111328125
1996800,-169.25926208496094
2022400,-246.6057891845703
2048000,-196.72882080078125
2073600,-190.7197723388672
2099200,-143.8228759765625
2124800,-99.75672912597656
2150400,-193.26016235351562
2176000,-123.46929168701172
2201600,-156.70608520507812
2227200,-122.5302963256836
2252800,-148.43475341796875
2278400,-212.0390625
2304000,-193.07684326171875
2329600,-148.75946044921875
2355200,-228.94757080078125
2380800,-121.54582214355469
2406400,-173.61624145507812
2432000,-145.20579528808594
2457600,-197.79156494140625
2483200,-217.34605407714844
2508800,-74.1396713256836
2534400,-164.13174438476562
2560000,-258.7113952636719
2585600,-147.46240234375
2611200,-145.82333374023438
2636800,-187.11692810058594
2662400,-147.79420471191406
2688000,-165.10394287109375
2713600,-208.22610473632812
2739200,-192.38455200195312
2764800,-121.13262176513672
2790400,-49.41538619995117
2816000,-94.23929595947266
2841600,-125.15167236328125
2867200,-154.03280639648438
2892800,-146.273193359375
2918400,-117.21841430664062
2944000,-194.09719848632812
2969600,-97.70841217041016
2995200,-167.6923828125
3020800,-119.5391616821289
3046400,-170.17471313476562
